original_index	real_search	ingredient	search_title	page_title	description	page_url
616		Crème de Cassis	Crème de Cassis	Crème de cassis	"Crème de cassis (pronounced: [kʁɛm də kasis]) is a sweet, dark red liqueur made from blackcurrants.
"	http://en.wikipedia.org/wiki/Cr%C3%A8me_de_cassis
617		Crème de Menthe	Crème de Menthe	Crème de menthe	Crème de menthe (French for mint cream) is a sweet, mint-flavored alcoholic beverage. 	http://en.wikipedia.org/wiki/Cr%C3%A8me_de_menthe
611	Crème fraîche	Crema	Crema	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
612	Crème fraîche	Crema	Crema	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
613	Crème fraîche	Crema	Crema	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
618		Crème Fraîche	Crème Fraîche	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
619		Crème Fraîche	Crème Fraîche	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
620		Crème Fraîche	Crème Fraîche	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
621		Crème Fraîche	Crème Fraîche	Crème fraîche	Crème fraîche (English pronunciation : /ˌkrɛmˈfrɛʃ/, French pronunciation: ​[kʁɛm fʁɛʃ], Quebec French pronunciation : [kʁɛm fʁaɪ̯ʃ], lit. "fresh cream") is a soured cream containing 30–45% butterfat. It is soured with bacterial culture, but is less sour than U.S.-style sour cream, and has a lower viscosity and a higher fat content.	http://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche
1014		Hawaiian Snapper	Hawaiian Snapper	Crimson jobfish	Pristipomoides filamentosus, the crimson jobfish, (also known as crimson snapper and Hawaiian pink snapper) is a species of snapper native to the Indian Ocean and into the Pacific Ocean as far east as Hawaii and Tahiti. 	http://en.wikipedia.org/wiki/Crimson_jobfish
614		Crescent Roll Dough	Crescent Roll Dough	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
615		Crescent Roll Dough	Crescent Roll Dough	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
623		Croissants	Croissants	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
624		Croissants	Croissants	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
625		Croissants	Croissants	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
2312		Crescent Roll Dough	Crescent Roll Dough	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
2313		Crescent Roll Dough	Crescent Roll Dough	Croissant	A croissant (/krəˈsɑːnt/ or /ˈkwʌsɒŋ/; French pronunciation: [kʁwa.sɑ̃] ( )) is a buttery flaky viennoiserie pastry named for its well known crescent shape.	http://en.wikipedia.org/wiki/Croissant
622		Croissant Doughnuts	Croissant Doughnuts	Cronut	Cronut is a croissant-doughnut pastry invented and trademarked by Dominique Ansel Bakery in New York City.	http://en.wikipedia.org/wiki/Cronut
1764	Croquette	Serrano Ham Croquettes	Serrano Ham Croquettes	Croquette	A croquette is a small breadcrumbed fried food roll containing, usually as main ingredients, mashed potatoes and/or ground meat (veal, beef, chicken, or turkey), shellfish, fish, cheese, vegetables and mixed with béchamel or brown sauce, and soaked white bread, egg, onion, spices and herbs, wine, milk, beer or any of the combination thereof, sometimes with a filling, e.g. 	http://en.wikipedia.org/wiki/Croquette
2314		Crumpets	Crumpets	Crumpet	A crumpet /ˈkrʌmpɨt/ is a griddle cake made from flour and yeast.	http://en.wikipedia.org/wiki/Crumpet
369		Caramel Coated Popcorn	Caramel Coated Popcorn	Crunch 'n Munch	Crunch 'n Munch is a brand of ConAgra Foods consisting of caramel-coated popcorn and peanuts.	http://en.wikipedia.org/wiki/Crunch_%27n_Munch
2315		Cube Steak	Cube Steak	Cube steak	Cube steak is a cut of beef, usually top round or top sirloin, tenderized by fierce pounding with a meat tenderizer, or use of an electric tenderizer. 	http://en.wikipedia.org/wiki/Cube_steak
636		Cucumber	Cucumber	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
637		Cucumber	Cucumber	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
638		Cucumber Peels	Cucumber Peels	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
749		English Cucumbers	English Cucumbers	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
750		English Cucumbers	English Cucumbers	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
751		English Cucumbers	English Cucumbers	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
1125	Cucumber	Kirby Cucumbers	Kirby Cucumbers	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
1177	Cucumber	Lemon Cucumber	Lemon Cucumber	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
2316		Cucumber	Cucumber	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
2458	Cucumber	Kirby Cucumbers	Kirby Cucumbers	Cucumber	Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae.	http://en.wikipedia.org/wiki/Cucumber
1045		Horned Melon	Horned Melon	Cucumis metuliferus	Cucumis metuliferus, horned melon or kiwano, also African horned cucumber or melon, jelly melon, hedged gourd, melano, or in the southeastern United States, blowfish fruit, is an annual vine in the cucumber and melon family, Cucurbitaceae. 	http://en.wikipedia.org/wiki/Cucumis_metuliferus
1046		Horned Melon	Horned Melon	Cucumis metuliferus	Cucumis metuliferus, horned melon or kiwano, also African horned cucumber or melon, jelly melon, hedged gourd, melano, or in the southeastern United States, blowfish fruit, is an annual vine in the cucumber and melon family, Cucurbitaceae. 	http://en.wikipedia.org/wiki/Cucumis_metuliferus
1145	Cucurbita	Kusa	Kusa	Cucurbita	Cucurbita (Latin for gourd) is a genus in the gourd family Cucurbitaceae native to and originally cultivated in the Andes and Mesoamerica.	http://en.wikipedia.org/wiki/Cucurbita
1959	Cucurbita	Toybox Squash	summer squash	Cucurbita	Cucurbita (Latin for gourd) is a genus in the gourd family Cucurbitaceae native to and originally cultivated in the Andes and Mesoamerica.	http://en.wikipedia.org/wiki/Cucurbita
690		Dried Hibiscus Flowers	Dried Hibiscus Flowers	Culture of Yemen	The culture of Yemen has an ancient history, influenced by Islam. 	http://en.wikipedia.org/wiki/Culture_of_Yemen
691		Dried Hibiscus Flowers	Dried Hibiscus Flowers	Culture of Yemen	The culture of Yemen has an ancient history, influenced by Islam. 	http://en.wikipedia.org/wiki/Culture_of_Yemen
1995	Cupcake	Vanilla Cupcakes	Vanilla Cupcakes	Cupcake	A cupcake (also British English: fairy cake; Australian English: patty cake or cup cake) is a small cake designed to serve one person, which may be baked in a small thin paper or aluminium cup. 	http://en.wikipedia.org/wiki/Cupcake
2767	Cupcake	Vanilla Cupcakes	Vanilla Cupcakes	Cupcake	A cupcake (also British English: fairy cake; Australian English: patty cake or cup cake) is a small cake designed to serve one person, which may be baked in a small thin paper or aluminium cup. 	http://en.wikipedia.org/wiki/Cupcake
643		Curry Powder	Curry Powder	Curry powder	Curry powder is a spice mix of widely varying composition based on South Asian cuisine.	http://en.wikipedia.org/wiki/Curry_powder
644		Curry Powder	Curry Powder	Curry powder	Curry powder is a spice mix of widely varying composition based on South Asian cuisine.	http://en.wikipedia.org/wiki/Curry_powder
642		Curry Leaves	Curry Leaves	Curry tree	"The curry tree (Murraya koenigii) is a tropical to sub-tropical tree in the family Rutaceae, which is native to India and Sri Lanka.
"	http://en.wikipedia.org/wiki/Curry_tree
645		Currywurst	german Currywurst	Currywurst	"Currywurst (German pronunciation: [ˈkœʁiˌvʊʁst]) is a fast food dish of German origin consisting of steamed, then fried pork sausage (German: Wurst) cut into slices and seasoned with curry ketchup, regularly consisting of ketchup or tomato paste blended with generous amounts of curry powder, or a ready-made ketchup-based sauce seasoned with curry and other spices.
"	http://en.wikipedia.org/wiki/Currywurst
442		Chicken Cutlets	Chicken Cutlets	Cutlet	Cutlet (derived from côtelette, côte ("rib")) refers to:	http://en.wikipedia.org/wiki/Cutlet
646		Cuttlefish	Cuttlefish	Cuttlefish	Cuttlefish are marine animals of the order Sepiida.	http://en.wikipedia.org/wiki/Cuttlefish
2319		Cuttlefish	Cuttlefish	Cuttlefish	Cuttlefish are marine animals of the order Sepiida.	http://en.wikipedia.org/wiki/Cuttlefish
1189		Lemongrass	Lemongrass	Cymbopogon	Cymbopogon, commonly known as lemongrass is a genus of about 45 species of grasses, (of which the type species is Cymbopogon citratus, a natural and soft tea anxiolytic[citation needed]) native to warm temperate and tropical regions of the Old World and Oceania. 	http://en.wikipedia.org/wiki/Cymbopogon
1190		Lemongrass	Lemongrass	Cymbopogon	Cymbopogon, commonly known as lemongrass is a genus of about 45 species of grasses, (of which the type species is Cymbopogon citratus, a natural and soft tea anxiolytic[citation needed]) native to warm temperate and tropical regions of the Old World and Oceania. 	http://en.wikipedia.org/wiki/Cymbopogon
1638		Red Anjou Pears	Red Anjou Pears	D'Anjou	The D'Anjou pear, sometimes referred to as the Beurré d'Anjou or simply Anjou, is a short-necked cultivar of European Pear. 	http://en.wikipedia.org/wiki/D%27Anjou
647		Daikon	Daikon	Daikon	Daikon, mooli, or white radish (Raphanus sativus var. 	http://en.wikipedia.org/wiki/Daikon
648		Daikon	Daikon	Daikon	Daikon, mooli, or white radish (Raphanus sativus var. 	http://en.wikipedia.org/wiki/Daikon
1429		Pickled Daikon	Pickled Daikon	Daikon	Daikon, mooli, or white radish (Raphanus sativus var. 	http://en.wikipedia.org/wiki/Daikon
1430		Pickled Daikon	Pickled Daikon	Daikon	Daikon, mooli, or white radish (Raphanus sativus var. 	http://en.wikipedia.org/wiki/Daikon
2320		Daikon	Daikon	Daikon	Daikon, mooli, or white radish (Raphanus sativus var. 	http://en.wikipedia.org/wiki/Daikon
2388		Gin Liqueur	Gin Liqueur	Damson gin	Damson gin is a liqueur, usually homemade, made from damson plums macerated in a sugar and gin syrup for eight weeks or more. 	http://en.wikipedia.org/wiki/Damson_gin
654		Darjeeling Tea	Darjeeling Tea	Darjeeling tea	Darjeeling tea is a tea from the Darjeeling district in West Bengal, India. 	http://en.wikipedia.org/wiki/Darjeeling_tea
2540		Opal Basil	Opal Basil	Dark opal basil	Dark opal basil is a cultivar of Ocimum basilicum (sweet basil), developed at the University of Connecticut in the 1950s. 	http://en.wikipedia.org/wiki/Dark_opal_basil
656	Date (fruit)#Dates	Dates	Dates	Date palm	Phoenix dactylifera (date, or date palm) is a palm in the genus Phoenix, cultivated for its edible sweet fruit. 	http://en.wikipedia.org/wiki/Date_palm
657	Date (fruit)#Dates	Dates	Dates	Date palm	Phoenix dactylifera (date, or date palm) is a palm in the genus Phoenix, cultivated for its edible sweet fruit. 	http://en.wikipedia.org/wiki/Date_palm
685		Dried Dates	Dried Dates	Date palm	Phoenix dactylifera (date, or date palm) is a palm in the genus Phoenix, cultivated for its edible sweet fruit. 	http://en.wikipedia.org/wiki/Date_palm
686		Dried Dates	Dried Dates	Date palm	Phoenix dactylifera (date, or date palm) is a palm in the genus Phoenix, cultivated for its edible sweet fruit. 	http://en.wikipedia.org/wiki/Date_palm
2584	Date palm	Pitted Dates	Pitted Dates	Date palm	Phoenix dactylifera (date, or date palm) is a palm in the genus Phoenix, cultivated for its edible sweet fruit. 	http://en.wikipedia.org/wiki/Date_palm
661		Delicata Squash	Delicata Squash	Delicata squash	Delicata squash (Cucurbita pepo var.	http://en.wikipedia.org/wiki/Delicata_squash
2483		Lemon Bars	Lemon Bars	Dessert bar	Dessert bars, or simply bars or squares, are a type of American "bar cookie" that has the texture of a firm cake or softer than usual cookie. 	http://en.wikipedia.org/wiki/Dessert_bar
662		Deviled Eggs	Deviled Eggs	Deviled egg	Deviled eggs (US) or devilled eggs (UK) or eggs mimosa are hard-boiled eggs, shelled, cut in half, and filled with the hard-boiled egg's yolk mixed with other ingredients such as mayonnaise and mustard, but many other variants exist internationally. 	http://en.wikipedia.org/wiki/Deviled_egg
1435		Pickled Green Beans	Pickled Green Beans	Dilly beans	Dilly beans or pickled green beans, are a means of preserving this summer legume. 	http://en.wikipedia.org/wiki/Dilly_beans
1290		Mountain Yam	Chinese yam	Dioscorea opposita	"Dioscorea opposita (nagaimo, Chinese yam, Korean yam) is a type of yam (Dioscorea) that may be eaten raw.
"	http://en.wikipedia.org/wiki/Dioscorea_opposita
868		Fuyu Persimmons	Fuyu Persimmons	Diospyros kaki	Diospyros kaki, better known as the Japanese Persimmon, Kaki Persimmon (kaki [柿]) or Asian Persimmon in North America, is the most widely cultivated species of the Diospyros genus. 	http://en.wikipedia.org/wiki/Diospyros_kaki
1722		Salsa Con Queso	Salsa Con Queso	Dip (food)	A dip or dipping sauce is a common condiment for many types of food.	http://en.wikipedia.org/wiki/Dip_(food)
922		Gorgonzola Dolce	Gorgonzola Dolce	Dolcelatte	Dolcelatte is a blue veined Italian soft cheese.	http://en.wikipedia.org/wiki/Dolcelatte
923		Gorgonzola Dolce	Gorgonzola Dolce	Dolcelatte	Dolcelatte is a blue veined Italian soft cheese.	http://en.wikipedia.org/wiki/Dolcelatte
2761		Turkey Breast	Turkey Breast	Domesticated turkey	The domesticated turkey is a large poultry bird.	http://en.wikipedia.org/wiki/Domesticated_turkey
2762		Turkey Breast	Turkey Breast	Domesticated turkey	The domesticated turkey is a large poultry bird.	http://en.wikipedia.org/wiki/Domesticated_turkey
2788		Whole Turkey	Whole Turkey	Domesticated turkey	The domesticated turkey is a large poultry bird.	http://en.wikipedia.org/wiki/Domesticated_turkey
717		Duck Hearts	Duck Hearts	Donald Duck	Donald Fauntleroy Duck or Donald Duck is a funny animal cartoon character created in 1934 at Walt Disney Productions.	http://en.wikipedia.org/wiki/Donald_Duck
718		Duck Hearts	Duck Hearts	Donald Duck	Donald Fauntleroy Duck or Donald Duck is a funny animal cartoon character created in 1934 at Walt Disney Productions.	http://en.wikipedia.org/wiki/Donald_Duck
1280	Doogh	Mint Yogurt Soda	Mint Yogurt Soda	Doogh	Doogh (Persian: دوغ‎ Persian pronunciation: [duːɣ]; Iraqi: شنينة Shinēna) is a savory yogurt-based beverage.	http://en.wikipedia.org/wiki/Doogh
2327		Dorado	Dorado	Dorado	Dorado /dɒˈreɪdoʊ/ is a constellation in the southern sky.	http://en.wikipedia.org/wiki/Dorado
1945	Doubanjiang	Toban Djan	Toban Djan	Doubanjiang	Doubanjiang is a spicy, salty paste made from fermented broad beans, soybeans, salt, rice, and various spices. 	http://en.wikipedia.org/wiki/Doubanjiang
482	Doughnut	Chocolate Covered Donuts	Chocolate frosted Donuts	Doughnut	A doughnut or donut (/ˈdoʊnət/ or /ˈdoʊnʌt/) is a type of fried dough confectionery or dessert food.	http://en.wikipedia.org/wiki/Doughnut
1480	Doughnut	Plain Donuts	Plain Donuts	Doughnut	A doughnut or donut (/ˈdoʊnət/ or /ˈdoʊnʌt/) is a type of fried dough confectionery or dessert food.	http://en.wikipedia.org/wiki/Doughnut
1862	Doughnut	Stale Plain Doughnuts	Plain Doughnuts	Doughnut	A doughnut or donut (/ˈdoʊnət/ or /ˈdoʊnʌt/) is a type of fried dough confectionery or dessert food.	http://en.wikipedia.org/wiki/Doughnut
2585	Doughnut	Plain Donuts	Plain Donuts	Doughnut	A doughnut or donut (/ˈdoʊnət/ or /ˈdoʊnʌt/) is a type of fried dough confectionery or dessert food.	http://en.wikipedia.org/wiki/Doughnut
2328		Douglas Fir Brandy	Brandy	Douglas fir	Douglas fir, with the scientific name Pseudotsuga menziesii, also known as Oregon pine or Douglas spruce, is an evergreen conifer species native to western North America. 	http://en.wikipedia.org/wiki/Douglas_fir
1101		Jordan Almonds	Dragée	Dragée	A dragée is a bite-sized, colorful form of confectionery with a hard outer shell – which is often used for another purpose (e.g. 	http://en.wikipedia.org/wiki/Drag%C3%A9e
673		Dried Apricots	Dried Apricots	Dried apricot	Dried apricots are a type of traditional dried fruit.	http://en.wikipedia.org/wiki/Dried_apricot
674		Dried Apricots	Dried Apricots	Dried apricot	Dried apricots are a type of traditional dried fruit.	http://en.wikipedia.org/wiki/Dried_apricot
675		Dried Apricots	Dried Apricots	Dried apricot	Dried apricots are a type of traditional dried fruit.	http://en.wikipedia.org/wiki/Dried_apricot
2330		Dried Apricots	Dried Apricots	Dried apricot	Dried apricots are a type of traditional dried fruit.	http://en.wikipedia.org/wiki/Dried_apricot
677		Dried Cherries	Dried Cherries	Dried cherry	Dried cherries are a type of dried fruit.	http://en.wikipedia.org/wiki/Dried_cherry
678		Dried Cherries	Dried Cherries	Dried cherry	Dried cherries are a type of dried fruit.	http://en.wikipedia.org/wiki/Dried_cherry
680		Dried Cranberries	Dried Cranberries	Dried cranberry	Dried cranberries are made by partially dehydrating fresh cranberries, a process similar to making grapes into raisins. 	http://en.wikipedia.org/wiki/Dried_cranberry
681		Dried Cranberries	Dried Cranberries	Dried cranberry	Dried cranberries are made by partially dehydrating fresh cranberries, a process similar to making grapes into raisins. 	http://en.wikipedia.org/wiki/Dried_cranberry
46	Dried fruit	Apple Chips	Apple Chips	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
47	Dried fruit	Apple Chips	Apple Chips	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
57		Apricot Paste	Apricot Paste	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
58		Apricot Paste	Apricot Paste	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
139	Dried fruit	Banana Leather	Banana Leather	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
694	Dried fruit	Dried Mango	Dried Mango	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
695	Dried fruit	Dried Mangoes	Dried Mangoes	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
697	Dried fruit	Dried Papaya	Dried Papaya	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
706	Dried fruit	Dried Strawberries	Dried Strawberries	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
707	Dried fruit	Dried Strawberries	Dried Strawberries	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
708	Dried fruit	Dried Strawberries	Dried Strawberries	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
709	Dried fruit	Dried Strawberries	Dried Strawberries	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
710	Dried fruit	Dried Strawberries	Dried Strawberries	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
860		Fruit Leather	Fruit Leather	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
1880	Dried fruit	Strawberry Fruit Leather	Strawberry Fruit Leather	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
1881	Dried fruit	Strawberry Leather	Strawberry Leather	Dried fruit	Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. 	http://en.wikipedia.org/wiki/Dried_fruit
684		Dried Cuttlefish Snack	Dried Cuttlefish Snack	Dried shredded squid	Dried shredded squid is a dried, seasoned, seafood product, made from squid or cuttlefish, commonly found in coastal Asian countries, Russia, and Hawai'i. 	http://en.wikipedia.org/wiki/Dried_shredded_squid
704		Dried Shrimp	Dried Shrimp	Dried shrimp	Dried shrimp are shrimp that have been sun dried and shrunk to a thumbnail size.	http://en.wikipedia.org/wiki/Dried_shrimp
705		Dried Shrimp	Dried Shrimp	Dried shrimp	Dried shrimp are shrimp that have been sun dried and shrunk to a thumbnail size.	http://en.wikipedia.org/wiki/Dried_shrimp
1748		Sea Beans	Sea Beans	Drift seed	Drift seeds (also sea beans) and drift fruits are seeds and fruits adapted for long distance dispersal by water.	http://en.wikipedia.org/wiki/Drift_seed
1749		Sea Beans	Sea Beans	Drift seed	Drift seeds (also sea beans) and drift fruits are seeds and fruits adapted for long distance dispersal by water.	http://en.wikipedia.org/wiki/Drift_seed
1750		Sea Beans	Sea Beans	Drift seed	Drift seeds (also sea beans) and drift fruits are seeds and fruits adapted for long distance dispersal by water.	http://en.wikipedia.org/wiki/Drift_seed
2675		Sea Beans	Sea Beans	Drift seed	Drift seeds (also sea beans) and drift fruits are seeds and fruits adapted for long distance dispersal by water.	http://en.wikipedia.org/wiki/Drift_seed
2323	Drying (food)	Dehydrated Chocolate Covered Strawberries	Dehydrated Chocolate Covered Strawberries	Drying (food)	Drying is a method of food preservation that works by removing water from the food, which inhibits the growth of bacteria and has been practiced worldwide since ancient times to preserve food. 	http://en.wikipedia.org/wiki/Drying_(food)
2334		Duck	Duck	Duck	Duck is the common name for a large number of species in the Anatidae family of birds, which also includes swans and geese. 	http://en.wikipedia.org/wiki/Duck
2343	Duck	Duck Prosciutto	Duck Prosciutto	Duck	Duck is the common name for a large number of species in the Anatidae family of birds, which also includes swans and geese. 	http://en.wikipedia.org/wiki/Duck
713	Duck (food)	Duck Bacon	Duck Bacon	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
714		Duck Breast	Duck Breast	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
716		Duck Fat	Duck Fat	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
2335		Duck Breast	Duck Breast	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
2336		Duck Breast	Duck Breast	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
2337		Duck Breast	Duck Breast	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
2338		Duck Breast	Duck Breast	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
2339		Duck Breast	Duck Breast	Duck (food)	Duck refers to the meat of several species of bird in the Anatidae family, found in both fresh and salt water. 	http://en.wikipedia.org/wiki/Duck_(food)
2340		Duck Confit	Duck Confit	Duck confit	Duck confit (French: confit de canard French pronunciation: ​[kɔ̃.fi d(ə) ka.naʁ]) is a French dish made with the leg of the duck.	http://en.wikipedia.org/wiki/Duck_confit
