,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
742,742,Elk,Elk Tenderloin,,59,"$50,000 Tournament: Round Four",9/21/2010,,,
743,743,Elk,Elk Tenderloin,,79,"Canned Cheese, Please!",5/10/2011,"Chef Ricks is a chef at Landmarc, a restaurant of frequent Chopped judge, Marc Murphy.",,
744,744,,Empanada Wrappers,Empanada,69,Doughs and Don'ts,1/25/2011,,http://en.wikipedia.org/wiki/Empanada,"An empanada (Spanish pronunciation: [empaˈnaða], EM-pah-NAH-dhah; Spanish and Portuguese; also called pastel in Brazilian Portuguese and pate in Haitian Creole) is a stuffed bread or pastry baked or fried in many countries in Southern Europe, Latin America, the Southwestern United States, and parts of Southeast Asia. The name comes from the Galician, Portuguese, and Spanish verb empanar, meaning to wrap or coat in bread.
Empanadas are made by folding dough or bread around stuffing, which usually consists of a variety of meat, cheese, huitlacoche, vegetables or fruits, among others.
"
745,745,,Empanada Wrappers,Empanada,132,Grilltastic!,5/29/2012,"This was a grilling-themed episode. The stovetops were outfitted with grill sheets and two other burners. In contrast to the previous two grilling-themed episodes, the ovens were kept on and the chefs were allowed to use them.",http://en.wikipedia.org/wiki/Empanada,"An empanada (Spanish pronunciation: [empaˈnaða], EM-pah-NAH-dhah; Spanish and Portuguese; also called pastel in Brazilian Portuguese and pate in Haitian Creole) is a stuffed bread or pastry baked or fried in many countries in Southern Europe, Latin America, the Southwestern United States, and parts of Southeast Asia. The name comes from the Galician, Portuguese, and Spanish verb empanar, meaning to wrap or coat in bread.
Empanadas are made by folding dough or bread around stuffing, which usually consists of a variety of meat, cheese, huitlacoche, vegetables or fruits, among others.
"
746,746,,Emu Egg,Emu,42,Jitters & Giant Eggs,4/20/2010,,http://en.wikipedia.org/wiki/Emu,"The emu (/ˈiːmjuː/, sometimes US /ˈiːmuː/; Dromaius novaehollandiae) is the largest bird native to Australia and the only extant member of the genus Dromaius. It is the second-largest extant bird in the world by height, after its ratite relative, the ostrich. There are three subspecies of emus in Australia. The emu is common over most of mainland Australia, although it avoids heavily populated areas, dense forest, and arid areas.
"
747,747,,Endive,Endive,26,"Chopped Champions Event, Round Four: Bring It!",9/1/2009,,http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
748,748,,Endive,Endive,78,The Icing on the Steak,5/3/2011,,http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
749,749,,English Cucumbers,Cucumber,22,Buckwheat Blunders and Twists of Fate,8/11/2009,"Chef Amitzur cut his finger in the appetizer round. The judges told the producer who then told Amitzur to bandage the wound and redo his dish. Amitzur also double-dipped in the entrée and dessert rounds, which the judges felt was a health hazard.",http://en.wikipedia.org/wiki/Cucumber,"Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae. It is a creeping vine that bears cylindrical fruits that are used as culinary vegetables. There are three main varieties of cucumber: slicing, pickling, and burpless. Within these varieties, several different cultivars have emerged. "
750,750,,English Cucumbers,Cucumber,51,Crunch Time,7/6/2010,,http://en.wikipedia.org/wiki/Cucumber,"Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae. It is a creeping vine that bears cylindrical fruits that are used as culinary vegetables. There are three main varieties of cucumber: slicing, pickling, and burpless. Within these varieties, several different cultivars have emerged. "
751,751,,English Cucumbers,Cucumber,84,Bite Your Pickled Beef Tongue,6/14/2011,,http://en.wikipedia.org/wiki/Cucumber,"Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae. It is a creeping vine that bears cylindrical fruits that are used as culinary vegetables. There are three main varieties of cucumber: slicing, pickling, and burpless. Within these varieties, several different cultivars have emerged. "
752,752,,English Muffins,English muffin,48,Turbot Powered,6/15/2010,,http://en.wikipedia.org/wiki/English_muffin,"An English muffin is a small, round, flat (or thin) type of yeast-leavened bread which is commonly served split horizontally, toasted, and buttered. They are commonly eaten in the United States and the rest of the English-speaking world.
The term ""English muffin"" is most commonly used in North America to distinguish between this savory bread and the more common sweet cake-like muffin, which are sometimes known as ""American muffins"".
"
753,753,,Enoki Mushrooms,Enokitake,64,Cornuchopia,11/16/2010,This was a Thanksgiving-themed episode. The chefs were directed to prepare holiday-themed dishes for each course.,http://en.wikipedia.org/wiki/Enokitake,"Enokitake (榎茸, エノキタケ, Japanese pronunciation: [enokitake], /ɨˌnoʊkiˈtɑːkiː/), also Enokidake (榎茸, エノキダケ, Japanese pronunciation: [enokidake], /ɨˌnoʊkiˈdɑːkiː/) or Enoki (榎, エノキ, Japanese pronunciation: [enoki], /ɨˈnoʊki/) is a long, thin white mushroom used in East Asian cuisine (such as that of China, Japan and Korea). These mushrooms are cultivars of Flammulina velutipes, also known by the name, golden needle mushroom or lily mushroom. Wild forms differing in color, texture, and sliminess are called winter mushrooms, velvet foot or velvet stem, amongst other names.
This mushroom is available fresh or canned, with experts recommending fresh enoki specimens with firm, white, shiny caps, rather than those with slimy or brownish stalks that are best avoided.[citation needed] It is traditionally used for soups, but can also be used for salads and other dishes. "
754,754,,Enokitake Mushrooms,Enokitake,173,Redemption Intention,3/19/2013,This episode featured four past runners-up.,http://en.wikipedia.org/wiki/Enokitake,"Enokitake (榎茸, エノキタケ, Japanese pronunciation: [enokitake], /ɨˌnoʊkiˈtɑːkiː/), also Enokidake (榎茸, エノキダケ, Japanese pronunciation: [enokidake], /ɨˌnoʊkiˈdɑːkiː/) or Enoki (榎, エノキ, Japanese pronunciation: [enoki], /ɨˈnoʊki/) is a long, thin white mushroom used in East Asian cuisine (such as that of China, Japan and Korea). These mushrooms are cultivars of Flammulina velutipes, also known by the name, golden needle mushroom or lily mushroom. Wild forms differing in color, texture, and sliminess are called winter mushrooms, velvet foot or velvet stem, amongst other names.
This mushroom is available fresh or canned, with experts recommending fresh enoki specimens with firm, white, shiny caps, rather than those with slimy or brownish stalks that are best avoided.[citation needed] It is traditionally used for soups, but can also be used for salads and other dishes. "
755,755,,Epazote,Dysphania ambrosioides,85,Go For It!,6/21/2011,,http://en.wikipedia.org/wiki/Dysphania_ambrosioides,"Epazote, wormseed, Jesuit's tea, Mexican tea, Paico or Herba Sancti Mariæ (Dysphania ambrosioides, formerly Chenopodium ambrosioides) is an herb native to Central America, South America, and southern Mexico.
"
756,756,,Escargots,Escargot,124,"Ready, Set, Escargot!",4/10/2012,,http://en.wikipedia.org/wiki/Escargot,"Escargot (IPA: [ɛs.kaʁ.ɡo], French for snail) is a dish of cooked land snails, usually served as an appetizer in France and in French restaurants. "
757,757,,Escarole,Endive,54,Wok This Way,7/27/2010,,http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
758,758,,Escarole,Endive,88,Easy Peasy?,7/12/2011,This is the first episode to feature four British chefs.,http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
759,759,,Escarole,Endive,119,Leftovers Extravaganza!,3/6/2012,This was a leftovers competition. The white wine used in the entrée round was Chardonnay.,http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
760,760,,Escarole,Endive,135,Chocolate Challenge,6/19/2012,Each basket included a chocolate ingredient.,http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
761,761,,Escarole,Endive,139,Food Network Stars!,7/22/2012,"This episode featured four contestants that were previous winners of The Next Food Network Star that were competing for $10,000 for the charity of their choice. The judges were the mentors for Season 8 of The Next Food Network Star",http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
762,762,,Escarole,Endive,183,Momumental,5/7/2013,"All of the chefs competing in this episode were mothers. They wore street clothes rather than the customary chef coats while competing, but were given chef coats by Ted Allen at the end of the episode.",http://en.wikipedia.org/wiki/Endive,"Endive (/ˈɛndaɪv/ or /ˈɑːndiv/; Cichorium endivia) is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads.
"
763,763,Espresso,Espresso Powder,,148,Drawing a Flank,8/21/2012,,,
764,764,,Espresso Soda,Manhattan Special,69,Doughs and Don'ts,1/25/2011,,http://en.wikipedia.org/wiki/Manhattan_Special,"Manhattan Special is a beverage company located in Brooklyn, New York. The company was founded in 1895 and is located in the neighborhood of Williamsburg. Their most famous product is their Espresso Coffee Soda, made with espresso beans, seltzer water, and sugar.
"
765,765,,Ethiopian Coffee Beans,Coffee production in Ethiopia,160,Bird in the Pan,11/27/2012,,http://en.wikipedia.org/wiki/Coffee_production_in_Ethiopia,"Coffee production in Ethiopia is a longstanding tradition. Ethiopia is where Coffea arabica, the coffee plant, originates. The plant is now grown in various parts of the world; Ethiopia itself accounts for around 3% of the global coffee market. Coffee is important to the economy of Ethiopia; around 60% of foreign income comes from coffee, with an estimated 15 million of the population relying on some aspect of coffee production for their livelihood. "
766,766,,Extra-firm Tofu,Tofu,132,Grilltastic!,5/29/2012,"This was a grilling-themed episode. The stovetops were outfitted with grill sheets and two other burners. In contrast to the previous two grilling-themed episodes, the ovens were kept on and the chefs were allowed to use them.",http://en.wikipedia.org/wiki/Tofu,"Tofu (Chinese: 豆腐 dòufu; Japanese: 豆腐 or とうふ tōfu; Korean: 두부 dubu), also called bean curd, is a food made by coagulating soy milk and then pressing the resulting curds into soft white blocks. It is a component in many East Asian and Southeast Asian cuisines. There are many different varieties of tofu, including fresh tofu and tofu that has been processed in some way. Tofu has a subtle flavor and can be used in savory and sweet dishes. "
767,767,,Falooda Glass Noodles,Cellophane noodles,202,Chopped Family Feud,8/11/2013,The contestants are two pairs of brothers who have each competed together on Iron Chef America.,http://en.wikipedia.org/wiki/Cellophane_noodles,"Cellophane noodles (also known as Chinese vermicelli, bean threads, bean thread noodles, crystal noodles, or glass noodles) are a type of transparent noodle made from starch (such as mung bean starch, yam, potato starch, cassava or canna starch), and water.
They are generally sold in dried form, boiled to reconstitute, then used in soups, stir fried dishes, or spring rolls. They are called ""cellophane noodles"" or ""glass noodles"" because of their appearance when cooked, resembling cellophane, a clear material of a translucent light gray or brownish-gray color.
Cellophane noodles are generally round, and are available in various thicknesses. "
768,768,,Far Far,Far far,112,Far Far Out!,1/10/2012,,http://en.wikipedia.org/wiki/Far_far,"Far-far is an Indian snack food composed primarily of potato starch and tinted sago. They may also contain tapioca and wheat flour. Far-far puff up instantly when deep fried, and they are either eaten as a snack or served like a papadum to accompany a meal. They come in a variety of colors and shapes such as stars, hollow tubes, and flat squares.
"
769,769,Farina (food),Farina,,91,Chard & True,8/2/2011,,,
770,770,Egg (food),Farm Fresh Eggs,,210,Count Your Chickens,9/24/2013,All baskets have chicken products.,,
771,771,,Farmer's Cheese,Farmer cheese,90,Sweet Second Chance!,7/26/2011,"This episode featured four past non-winners. This was the first ""redemption"" episode to feature a non-runner-up as well as the first to feature two chefs from the same previous episode. Chef Magris slipped and fell during the entrée round. She spilled boiling water on herself, causing second-degree burns on both her legs. The judges gave Chef Magris the option to bow out of the competition before the judging in that round, but she elected to continue. Although Chef Nitahara won, he gave the $10,000 prize to Chef Magris so she could visit her ill grandmother in France.",http://en.wikipedia.org/wiki/Farmer_cheese,"Farmer cheese (also farmer's cheese or farmers' cheese) in American English refers most often to pressed Cottage cheese, an unripened cheese made by adding rennet and bacterial starter to coagulate and acidify milk. Farmer cheese may be made from the milk of cows, sheep or goats, with each giving its own texture and flavor.
During coagulation the mixture separates into curds (solid) and whey (liquid), then the whey is drained off. Further pressing out of the moisture yields the malleable solid results of pot cheese, while even more pressing makes farmer cheese, which is solid, dry and crumbly. "
772,772,,Farmer's Cheese,Farmer cheese,128,All-Stars: Judge Remix,4/29/2012,,http://en.wikipedia.org/wiki/Farmer_cheese,"Farmer cheese (also farmer's cheese or farmers' cheese) in American English refers most often to pressed Cottage cheese, an unripened cheese made by adding rennet and bacterial starter to coagulate and acidify milk. Farmer cheese may be made from the milk of cows, sheep or goats, with each giving its own texture and flavor.
During coagulation the mixture separates into curds (solid) and whey (liquid), then the whey is drained off. Further pressing out of the moisture yields the malleable solid results of pot cheese, while even more pressing makes farmer cheese, which is solid, dry and crumbly. "
773,773,,Farmer's Cheese,Farmer cheese,149,Stacking Up,9/4/2012,,http://en.wikipedia.org/wiki/Farmer_cheese,"Farmer cheese (also farmer's cheese or farmers' cheese) in American English refers most often to pressed Cottage cheese, an unripened cheese made by adding rennet and bacterial starter to coagulate and acidify milk. Farmer cheese may be made from the milk of cows, sheep or goats, with each giving its own texture and flavor.
During coagulation the mixture separates into curds (solid) and whey (liquid), then the whey is drained off. Further pressing out of the moisture yields the malleable solid results of pot cheese, while even more pressing makes farmer cheese, which is solid, dry and crumbly. "
774,774,,Farmhouse Cheddar,Cheddar cheese,91,Chard & True,8/2/2011,,http://en.wikipedia.org/wiki/Cheddar_cheese,"Cheddar cheese is a relatively hard, pale-yellow-to-off-white (unless artificially coloured), sometimes ""sharp"" (i.e., acidic)-tasting, natural cheese. Originating in the English village of Cheddar in Somerset, cheeses of this style are produced beyond this region and in several countries around the world.
Cheddar is the most popular type of cheese in the U.K., accounting for 51 percent of the country's £1.9 billion annual cheese market; it is also the second-most-popular cheese in the U.S.A. (behind mozzarella), with an average annual consumption of 10 lb (4.5 kg) per capita. "
775,775,,Farro,Farro,178,Chopped All-Stars: Finale!,5/5/2013,"This episode features the winners of the four previous episodes battling to win $50,000 for their charity. The entrée cooking time was extended to 40 minutes to allow the chefs to butcher the goat.",http://en.wikipedia.org/wiki/Farro,"Farro is a food product composed of the grains of certain wheat species. The exact definition is debated. It is sold dried and is prepared by cooking in water until soft, but still crunchy (many recommend first soaking overnight). It may be eaten plain, though it is often used as an ingredient in dishes such as salads and soups.
"
776,776,,Fava Beans,Vicia faba,155,Pigging Out!,10/23/2012,"This was a ""nose-to-tail"" themed competition. The pig organs in the entrée round consisted of heart, liver, and kidneys, and the chefs were required to use all three of them. Chef Finn works at Fatty Crab, owned by Chopped judge Zakary Pelaccio.",http://en.wikipedia.org/wiki/Vicia_faba,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of bean (Fabaceae) native to North Africa, southwest and south Asia, and extensively cultivated elsewhere. A variety Vicia faba var. equina Pers. "
777,777,,Fava Beans,Vicia faba,165,Make No Mistake,2/17/2013,This episode featured chefs who were eliminated in previous episodes for making egregious mistakes. Fans were given a chance to select the competitors for the episode via an Internet poll.,http://en.wikipedia.org/wiki/Vicia_faba,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of bean (Fabaceae) native to North Africa, southwest and south Asia, and extensively cultivated elsewhere. A variety Vicia faba var. equina Pers. "
778,778,,Fava Greens,Vicia faba,170,Chopped Champions: Part 4,2/5/2013,,http://en.wikipedia.org/wiki/Vicia_faba,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of bean (Fabaceae) native to North Africa, southwest and south Asia, and extensively cultivated elsewhere. A variety Vicia faba var. equina Pers. "
779,779,,Fennel,Fennel,19,A Prickly Situation,7/21/2009,,http://en.wikipedia.org/wiki/Fennel,"For giant fennel, see Ferula communis. For sea fennel, see Crithmum. "
780,780,,Fennel,Fennel,145,Grill Masters: Part Four,8/12/2012,,http://en.wikipedia.org/wiki/Fennel,"For giant fennel, see Ferula communis. For sea fennel, see Crithmum. "
781,781,,Fennel,Fennel,170,Chopped Champions: Part 4,2/5/2013,,http://en.wikipedia.org/wiki/Fennel,"For giant fennel, see Ferula communis. For sea fennel, see Crithmum. "
782,782,,Fennel,Fennel,204,A Chopped Thanksgiving,11/12/2013,This was a Thanksgiving-themed episode. The chefs were given 40 minutes in the entrée round to allow them to properly prepare the turkey.,http://en.wikipedia.org/wiki/Fennel,"For giant fennel, see Ferula communis. For sea fennel, see Crithmum. "
783,783,,Fennel,Fennel,229,Ambitious Amateurs,2/4/2014,All the chefs are amateurs. Tommy wanted to donate the money to the victims of Hurricane Sandy.,http://en.wikipedia.org/wiki/Fennel,"For giant fennel, see Ferula communis. For sea fennel, see Crithmum. "
784,784,,Feta Cheese,Feta,62,When Octopuses Attack,10/12/2010,,http://en.wikipedia.org/wiki/Feta,"Feta (Greek: φέτα, féta, ""slice"") is a white-brined curd cheese made in Greece, the Balkans, and Asia Minor. It is a crumbly aged cheese, commonly produced in blocks, and has a slightly grainy texture. Feta is used as a table cheese, as well as in salads (e.g. the Greek salad) and pastries. "
785,785,,Feta Cheese,Feta,25,"Chopped Champions Event, Round Three: All-Stars Showdown",9/1/2009,This is the first episode to feature an all-male panel of judges.,http://en.wikipedia.org/wiki/Feta,"Feta (Greek: φέτα, féta, ""slice"") is a white-brined curd cheese made in Greece, the Balkans, and Asia Minor. It is a crumbly aged cheese, commonly produced in blocks, and has a slightly grainy texture. Feta is used as a table cheese, as well as in salads (e.g. the Greek salad) and pastries. "
786,786,,Feta Cheese,Feta,191,Wurst Case Scenario,7/23/2013,"Chef Joshi works at Tertulia, under occasional Chopped judge Seamus Mullen.",http://en.wikipedia.org/wiki/Feta,"Feta (Greek: φέτα, féta, ""slice"") is a white-brined curd cheese made in Greece, the Balkans, and Asia Minor. It is a crumbly aged cheese, commonly produced in blocks, and has a slightly grainy texture. Feta is used as a table cheese, as well as in salads (e.g. the Greek salad) and pastries. "
787,787,,Fiddlehead Ferns,Fiddlehead fern,23,"Chopped Champions Event, Round One: The Ultimate Face-off",8/18/2009,"This is the first ""Chopped Champions"" event, featuring winners of past episodes. The winner of the episode won a cash prize and competed in the next episode against three new champions.",http://en.wikipedia.org/wiki/Fiddlehead_fern,"Fiddleheads or Fiddlehead greens are the furled fronds of a young fern, harvested for use as a vegetable. Left on the plant, each fiddlehead would unroll into a new frond (circinate vernation). As fiddleheads are harvested early in the season before the frond has opened and reached its full height, they are cut fairly close to the ground.
Fiddleheads have antioxidant activity, are a source of omega-3 and omega-6 fatty acids, and are high in iron and fibre. "
788,788,,Fiddlehead Ferns,Fiddlehead fern,155,Pigging Out!,10/23/2012,"This was a ""nose-to-tail"" themed competition. The pig organs in the entrée round consisted of heart, liver, and kidneys, and the chefs were required to use all three of them. Chef Finn works at Fatty Crab, owned by Chopped judge Zakary Pelaccio.",http://en.wikipedia.org/wiki/Fiddlehead_fern,"Fiddleheads or Fiddlehead greens are the furled fronds of a young fern, harvested for use as a vegetable. Left on the plant, each fiddlehead would unroll into a new frond (circinate vernation). As fiddleheads are harvested early in the season before the frond has opened and reached its full height, they are cut fairly close to the ground.
Fiddleheads have antioxidant activity, are a source of omega-3 and omega-6 fatty acids, and are high in iron and fibre. "
789,789,,Fig Cookies,Newtons (cookie),96,Champions' Tournament: Part 3,9/13/2011,,http://en.wikipedia.org/wiki/Newtons_(cookie),"Newtons are a Nabisco trademarked version of the fig roll, a pastry filled with fig paste. Their unusual shape is a characteristic that has been adopted by many competitors including generic fig bars sold in many markets. They are produced by an extrusion process.
"
790,790,,Fig Preserves,Fruit preserves,136,Pride of New Orleans,6/26/2012,This episode featured four chefs from New Orleans. The basket ingredients were also inspired by the New Orleans theme.,http://en.wikipedia.org/wiki/Fruit_preserves,"Fruit preserves are preparations of fruits, vegetables and sugar, often canned or sealed for long-term storage. The preparation of fruit preserves today often involves adding commercial or natural pectin as a gelling agent, although sugar or honey may be used, as well. Before World War II, fruit preserve recipes did not include pectin, and many artisan jams today are made without pectin. The ingredients used and how they are prepared determine the type of preserves; jams, jellies and marmalades are all examples of different styles of fruit preserves that vary based upon the fruit used.
"
791,791,Common fig,Figs,,37,Raw Enthusiasm,4/12/2010,,,
792,792,Common fig,Figs,,161,Thirsty for Victory,12/11/2012,"Chef Grossman was 16-years old at the time he competed, making him the youngest chef to appear on Chopped outside the special ""teen chefs"" episode.",,
793,793,,Filet Mignon,Filet mignon,207,Sports Stars,9/3/2013,All of the chefs are sports stars.,http://en.wikipedia.org/wiki/Filet_mignon,"Filet mignon (French for ""cute fillet"" or ""dainty fillet"") is a steak cut of beef taken from the smaller end of the tenderloin, or psoas major of the beef carcass, usually a steer or heifer. In French this cut can also be called filet de bœuf, which translates in English to beef fillet. When found on a menu in France, filet mignon generally refers to pork rather than beef.
The tenderloin (not to be confused with the short loin) runs along both sides of the spine, and is usually harvested as two long snake-shaped cuts of beef. "
794,794,,Filet Mignon,Filet mignon,219,Teen Talent,12/10/2013,"All the chefs are teens that are competing for the chance to win a $40,000 scholarship.",http://en.wikipedia.org/wiki/Filet_mignon,"Filet mignon (French for ""cute fillet"" or ""dainty fillet"") is a steak cut of beef taken from the smaller end of the tenderloin, or psoas major of the beef carcass, usually a steer or heifer. In French this cut can also be called filet de bœuf, which translates in English to beef fillet. When found on a menu in France, filet mignon generally refers to pork rather than beef.
The tenderloin (not to be confused with the short loin) runs along both sides of the spine, and is usually harvested as two long snake-shaped cuts of beef. "
795,795,,Finger Limes,Citrus australasica,154,A Very Piggy Halloween,10/16/2012,This was a Halloween-themed episode.,http://en.wikipedia.org/wiki/Citrus_australasica,"The Finger Lime plant, Citrus australasica (syn. Microcitrus australasica) is a thorny understorey shrub or small tree of lowland subtropical rainforest and dry rainforest in the coastal border region of Queensland and New South Wales, Australia.
The plant is 2–7 meters in height. Leaves are small, 1–6 cm long and 3–25 mm wide, glabrous, with a notched tip and crenate towards the apex. "
796,796,,Finger Limes,Citrus australasica,208,Hero Chefs,9/10/2013,"All of the chefs are heroes in their community. Judge Cheryl Barbara was the winner of the first school chef episode, Class Acts (9x13).",http://en.wikipedia.org/wiki/Citrus_australasica,"The Finger Lime plant, Citrus australasica (syn. Microcitrus australasica) is a thorny understorey shrub or small tree of lowland subtropical rainforest and dry rainforest in the coastal border region of Queensland and New South Wales, Australia.
The plant is 2–7 meters in height. Leaves are small, 1–6 cm long and 3–25 mm wide, glabrous, with a notched tip and crenate towards the apex. "
797,797,,Finger Limes,Citrus australasica,232,Chopped Tournament of Stars: Sports Stars!,3/9/2014,"Part 1 of 5. Competing for $50,000 towards a charity.",http://en.wikipedia.org/wiki/Citrus_australasica,"The Finger Lime plant, Citrus australasica (syn. Microcitrus australasica) is a thorny understorey shrub or small tree of lowland subtropical rainforest and dry rainforest in the coastal border region of Queensland and New South Wales, Australia.
The plant is 2–7 meters in height. Leaves are small, 1–6 cm long and 3–25 mm wide, glabrous, with a notched tip and crenate towards the apex. "
798,798,,Fingerling Potatoes,Fingerling potato,11,"Jumbo Shrimp, Pepperoncini, Cereal",3/24/2009,,http://en.wikipedia.org/wiki/Fingerling_potato,"A fingerling potato is a small, stubby, finger-shaped type of potato which may be any heritage potato cultivars. Fingerlings are varieties that naturally grow small and narrow. They are fully mature when harvested and are not to be confused with new potatoes. Popular fingerling potatoes include the yellow-skinned Russian Banana, the orange-skinned French, and the Purple Peruvian. "
799,799,,Firm Tofu,Tofu,169,Chopped Champions: Part 3,1/29/2013,,http://en.wikipedia.org/wiki/Tofu,"Tofu (Chinese: 豆腐 dòufu; Japanese: 豆腐 or とうふ tōfu; Korean: 두부 dubu), also called bean curd, is a food made by coagulating soy milk and then pressing the resulting curds into soft white blocks. It is a component in many East Asian and Southeast Asian cuisines. There are many different varieties of tofu, including fresh tofu and tofu that has been processed in some way. Tofu has a subtle flavor and can be used in savory and sweet dishes. "
800,800,,Fish Carcass,Nimbochromis,205,Wasted!,8/13/2013,All of the ingredients of the baskets were scraps - ingredients that are normally thrown away.,http://en.wikipedia.org/wiki/Nimbochromis,"Nimbochromis is a small genus of haplochromine cichlids mostly endemic to Lake Malawi in East Africa. They are known as sleeper cichlids or (in Chichewa) kaligono (""sleepers""), due to their unique hunting behaviour.
These piscivorous species are often seen lying motionless on the lake bottom near rocks where mbuna live, even adopting an unusual sideways position rarely seen in living fish. If smaller fishes approach, the Nimbochromis will ""wake up"" and try to seize them. "
801,801,,Fish Heads,Fish head,66,Victory on the Brain,1/4/2011,The fish heads used in the entrée round were from northeastern cod.,http://en.wikipedia.org/wiki/Fish_head,This article refers to the foodstuff.
802,802,Roe,Fish Roe in a Tube,,166,"Untrained, Undaunted",2/26/2013,All of the chefs in this episode were amateurs.,,
803,803,,Fish Sauce,Fish sauce,16,Floundering Around,6/30/2009,,http://en.wikipedia.org/wiki/Fish_sauce,"Fish sauce is an amber-colored liquid extracted from the fermentation of fish with sea salt. It is used as a condiment in various cuisines. Fish sauce is a staple ingredient in numerous cultures in Southeast Asia and the coastal regions of East Asia, and featured heavily in Cambodian, the Philippines, Thai, and Vietnamese cuisine.
In addition to being added to dishes during the cooking process, fish sauce is also used as a base for a dipping condiment, prepared in many different ways in each country, for fish, shrimp, pork, and chicken. "
804,804,Gouda cheese,Five Year Aged Gouda,,30,A Nori Story,11/3/2009,,,
805,805,,Flat Iron Steak,Flat iron steak,78,The Icing on the Steak,5/3/2011,,http://en.wikipedia.org/wiki/Flat_iron_steak,"Flat iron steak is the American name for the cut known as butlers' steak in the UK and oyster blade steak in Australia and New Zealand. It is cut with the grain, from the shoulder of the animal, producing a cut that tastes good, but is a bit tougher because it's not cross-grain. This is used, in some places, as a means of selling a less expensive steak from a more expensive animal, for example kobe beef.
"
806,806,,Flour Tortillas,Tortilla,63,Fright Bites,10/19/2010,"This was a Halloween-themed episode. The chefs were directed to prepare holiday-themed dishes for each course. In the entrée round, Chef Samsom rolled her tortillas on a cutting board that was cross-contaminated. The judges did not taste her dish as a result, and Chef Samsom was eliminated.",http://en.wikipedia.org/wiki/Tortilla,"A tortilla (or flour tortilla to differentiate it from other uses of the word ""tortilla"") is a type of thin flatbread made from finely ground wheat flour. Originally derived from the corn tortilla (tortilla in Spanish means ""small torta"", or ""small cake""), a bread of maize which predates the arrival of Europeans to the Americas, the wheat flour tortilla was an innovation after wheat was brought to the New World from Spain while this region was the colony of New Spain. It is made with an unleavened, water based dough, pressed and cooked like corn tortillas.
Flatbread tortillas have been eaten for thousands of years in north, northwest and northeast Mexico, where they are a staple, as well as many southwestern US Native American tribes. "
807,807,Summer flounder,Fluke,,196,"Big Fish, Small Basket",6/27/2013,"Chef Eakins works at Ditch Plains, which is owned by Chopped judge Marc Murphy.",,
808,808,,Fontina Cheese,Fontina,68,Marrowly We Roll Along,1/18/2011,,http://en.wikipedia.org/wiki/Fontina,"Fontina (French: Fontine) is an Italian cow's milk cheese.
"
